Timestamp,Zone,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,RotX,RotY,RotZ,MagX,MagY,MagZ
2025-11-24 09:37:46.399,9,-2.65,3.24,8.16,0.39,-0.47,0.05,-0.03,0.22,0.86,21.23,-21.38,-26.34
2025-11-24 09:32:56.609,0,-1.05,2.47,8.94,0.42,-0.25,0.13,-0.0,0.15,0.87,17.98,-17.94,-26.38
2025-11-24 09:33:25.723,6,-1.8,3.46,9.19,0.2,-0.39,-0.23,-0.05,0.18,0.92,16.97,-21.23,-24.75
2025-11-24 09:34:09.043,5,-4.52,5.22,6.59,-0.25,-0.53,-0.09,-0.11,0.36,0.86,23.85,-26.76,-14.44
2025-11-23 22:59:42.487,5,-5.56,5.41,5.84,-0.11,-0.17,-0.33,0.18,0.4,0.28,28.91,-2.78,-21.56
2025-11-24 09:23:52.862,8,-1.27,5.0,9.91,0.11,-0.05,0.13,0.24,0.02,-0.1,3.96,-4.74,-37.07
2025-11-24 09:37:01.344,8,-4.06,4.71,6.72,-0.32,-0.22,-0.05,-0.13,0.32,0.87,25.86,-22.82,-20.64
2025-11-24 09:34:55.400,5,-4.46,5.81,6.08,-0.38,-0.36,-0.15,-0.1,0.43,0.85,21.38,-29.06,-10.46
2025-11-24 09:21:55.544,1,0.13,8.48,3.58,-0.42,-0.83,0.18,0.37,0.46,0.54,25.58,-32.96,-4.41
2025-11-24 09:30:22.353,9,-2.83,2.23,8.63,0.02,0.01,0.12,-0.06,0.18,0.84,26.79,-15.45,-28.54
2025-11-24 09:23:50.212,7,-2.52,3.21,9.03,0.22,-2.61,0.69,0.21,0.14,-0.18,12.56,2.85,-37.59
2025-11-24 09:47:51.958,9,-0.69,2.94,9.64,-0.24,-0.01,0.15,0.09,0.15,0.63,32.42,-10.46,-36.6
2025-11-24 09:30:10.681,8,1.66,6.89,7.19,-0.02,0.1,0.02,0.26,0.26,0.8,12.9,-31.28,-19.2
2025-11-24 09:34:08.478,0,-3.35,3.51,8.29,0.12,-0.14,0.02,-0.09,0.25,0.88,23.81,-21.06,-22.78
2025-11-24 09:47:46.281,7,-3.08,4.62,7.23,-0.39,-0.29,-0.32,0.09,0.27,0.65,32.83,-17.53,-29.46
2025-11-24 09:15:22.634,7,-0.88,4.01,9.24,-0.09,-0.4,-0.1,0.18,0.09,-0.0,4.48,11.91,-45.39
2025-11-23 22:56:31.305,5,-0.36,7.56,6.22,-0.32,0.1,-0.0,0.34,0.24,0.49,11.74,-19.46,-22.97
2025-11-24 09:23:07.882,0,-1.08,-5.23,8.17,-0.44,-0.22,0.62,0.05,0.29,-0.95,-1.99,4.26,-31.67
2025-11-24 09:33:05.772,3,-4.49,3.75,7.55,0.13,-0.27,0.02,-0.08,0.3,0.85,26.51,-21.53,-18.98
2025-11-24 09:30:13.881,9,-0.11,4.91,8.79,0.36,-0.12,0.18,0.14,0.24,0.84,18.56,-27.11,-24.09
2025-11-24 09:28:18.952,5,-4.6,1.48,9.33,-0.13,-0.49,-0.01,-0.2,0.15,0.88,30.39,-11.85,-26.31
