Timestamp,Zone,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,RotX,RotY,RotZ,MagX,MagY,MagZ
2025-11-30 13:39:30.940,4,-2.54,5.64,4.12,0.45,-0.88,-0.64,0.43,0.05,-0.32,1.95,-29.04,-30.66
2025-12-02 22:31:52.040,6,-1.94,8.14,7.55,-0.14,0.23,0.3,0.22,0.45,0.59,25.82,-27.41,-15.83
2025-11-24 13:42:09.046,2,-1.57,10.11,3.87,-0.67,0.46,-0.4,0.33,0.56,0.57,15.04,-28.11,3.36
2025-11-24 17:14:01.771,7,-4.7,2.79,8.68,-0.68,-0.97,-0.66,0.0,0.24,0.72,20.21,-12.13,-27.3
2025-11-24 17:13:12.275,6,-2.68,4.04,10.02,0.38,-0.79,-0.21,-0.05,0.25,0.71,6.94,-18.21,-21.13
2025-12-03 17:03:58.259,5,-3.45,9.15,5.0,-0.63,-0.04,-0.35,0.25,-0.46,-0.85,13.31,-34.44,-11.1
2025-12-02 22:33:59.854,8,-2.18,8.16,7.09,0.18,0.33,-0.23,0.23,0.45,0.59,18.77,-33.54,-15.23
2025-11-24 17:11:33.579,6,-4.13,3.38,9.36,0.3,0.08,0.24,-0.03,0.26,0.7,20.57,-14.29,-27.38
2025-11-24 09:29:52.254,6,-4.74,7.49,5.0,0.01,-0.32,0.04,-0.03,0.52,0.75,29.98,-30.56,-5.25
2025-11-24 14:56:24.429,5,-1.93,4.49,8.43,0.06,-0.55,-0.53,0.01,0.28,0.74,26.81,-14.83,-31.91
2025-12-03 19:48:46.573,8,1.94,7.31,5.21,-0.18,-1.06,-0.45,0.46,-0.08,0.11,-4.71,-19.63,-32.93
2025-12-03 19:46:26.442,5,-0.17,8.55,8.94,0.87,0.2,-1.32,0.55,0.11,0.19,8.91,-25.29,-27.43
2025-11-24 14:53:59.574,6,-2.96,3.14,9.76,-0.13,-0.18,0.31,-0.01,0.27,0.58,22.71,-5.1,-24.99
2025-12-03 20:53:31.484,0,2.35,1.35,-1.39,0.38,-0.23,0.64,0.22,-0.22,0.22,-20.29,-5.76,-41.68
2025-11-30 12:42:22.827,3,-4.41,7.73,5.02,0.09,-0.45,-0.1,-0.05,0.57,0.72,95.55,17.76,142.71
2025-11-30 11:54:44.514,7,-3.55,8.26,2.81,-0.45,-0.11,0.43,0.59,0.12,-0.18,10.48,-21.21,-20.12
2025-11-23 22:44:26.802,9,1.53,6.66,6.79,-0.17,-0.12,0.01,0.34,0.15,0.56,0.49,-24.0,-24.64
2025-12-03 19:39:58.110,4,1.14,4.38,9.39,0.79,2.09,1.75,0.19,-0.13,0.09,-8.91,3.56,-39.08
2025-11-30 11:53:58.408,5,-3.55,8.39,3.33,-0.35,0.29,0.29,0.57,0.18,-0.17,10.13,-24.13,-22.01
2025-11-29 21:29:34.296,1,-2.21,9.96,2.77,0.24,-0.64,-0.25,0.13,0.61,0.66,17.96,-29.06,-2.08
2025-12-03 17:31:57.027,1,-5.15,6.11,7.89,-0.83,-0.81,-0.28,0.27,-0.31,-0.91,16.2,-25.95,-15.24
2025-12-03 21:06:37.672,1,2.12,9.1,7.5,-1.09,0.08,0.18,0.44,0.11,0.25,9.3,-21.39,-36.68
2025-11-24 14:38:18.427,5,-4.46,6.4,7.83,-0.51,0.01,-0.15,0.07,0.39,0.6,28.29,-12.34,-13.58
2025-12-03 16:06:21.934,1,-3.89,6.38,8.7,-0.08,-0.07,0.09,0.23,-0.31,-0.92,13.91,-19.74,-16.2
2025-12-03 21:00:13.377,2,2.27,5.95,7.09,0.78,0.72,0.34,0.29,-0.29,-0.03,-22.91,-10.39,-36.21
2025-12-03 17:34:32.342,3,-0.21,6.51,9.36,-0.45,0.16,-0.12,0.03,-0.32,-0.95,-1.74,-30.99,-25.26
2025-11-24 17:02:51.377,0,-2.22,4.23,9.03,0.22,0.13,0.16,0.08,0.23,0.62,18.32,-15.02,-31.63
2025-11-24 09:37:36.370,1,-5.65,6.14,5.33,-0.6,-0.84,-0.39,-0.13,0.41,0.83,24.69,-26.55,-13.18
2025-11-29 21:30:11.969,8,-2.91,7.17,6.6,-0.32,-0.14,-0.01,0.2,0.41,0.58,18.99,-23.18,-16.82
2025-12-03 17:33:03.873,4,-1.53,4.59,8.72,-0.2,0.76,0.02,0.14,-0.24,-0.96,5.64,-27.69,-25.78
2025-12-03 17:27:56.947,0,-3.18,2.83,9.61,-0.75,-0.21,-0.16,-0.18,0.16,0.97,9.47,-20.55,-27.13
2025-11-30 13:25:46.555,7,-2.67,7.78,7.21,0.02,-1.1,0.19,0.1,0.38,0.61,88.84,-32.46,106.33
2025-12-03 17:31:06.171,6,-2.81,3.62,7.72,0.35,0.37,0.09,0.13,-0.18,-0.97,5.59,-24.02,-27.83
2025-11-24 17:05:21.862,4,-5.49,4.67,8.77,0.16,-0.75,-1.01,0.16,0.23,0.25,12.98,-6.17,-36.32
2025-12-03 16:13:13.958,5,-2.01,5.61,6.78,0.48,0.11,0.16,0.09,-0.32,-0.94,1.2,-35.04,-15.28
2025-11-29 21:29:32.379,4,-2.52,8.13,6.22,-0.34,0.21,-0.58,0.11,0.54,0.68,20.31,-26.48,-7.24
2025-11-24 17:14:33.723,9,-1.77,3.64,11.06,0.24,0.3,0.27,0.05,0.21,0.62,16.18,-11.63,-28.93
2025-12-03 20:27:09.700,3,-4.47,7.72,7.26,0.41,-1.74,-0.22,0.4,0.33,0.07,33.32,-16.74,-24.11
2025-11-24 17:09:18.940,4,-4.23,5.22,8.98,0.22,0.31,-0.15,-0.02,0.31,0.82,18.43,-20.89,-25.65
2025-11-30 12:01:07.910,9,-2.23,7.2,8.59,0.29,0.16,0.15,0.43,-0.05,-0.4,0.06,-20.55,-28.71
2025-11-30 12:17:01.169,3,-7.18,5.37,7.52,0.44,-0.13,0.05,0.51,-0.03,-0.57,22.5,-29.33,100.03
2025-11-24 17:11:20.183,4,-3.04,6.18,4.18,-0.18,0.19,-1.09,0.01,0.34,0.78,22.11,-18.56,-24.11
2025-12-03 20:32:32.520,9,-2.96,1.68,11.72,0.38,1.33,0.25,0.1,0.17,0.09,15.75,5.1,-39.3
2025-11-24 09:33:50.980,3,-4.92,5.16,8.3,0.11,-0.05,-0.19,-0.11,0.38,0.83,21.69,-27.23,-10.26
