Timestamp,Zone,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,RotX,RotY,RotZ,MagX,MagY,MagZ
2025-11-24 09:18:26.157,8,0.16,8.06,-6.57,-0.45,-0.05,-0.17,0.5,0.74,0.4,13.28,-21.77,21.11
2025-12-03 19:55:32.102,6,-0.37,7.8,7.4,0.06,0.31,0.0,0.45,-0.03,-0.04,1.58,-19.22,-35.03
2025-11-30 11:57:06.780,9,-3.02,9.0,5.32,1.12,-0.19,-0.06,0.55,-0.03,-0.36,4.31,-25.93,-23.31
2025-12-03 16:06:29.021,0,0.28,3.8,8.75,0.04,0.18,0.21,0.06,-0.12,-0.99,-0.6,-14.23,-29.06
2025-12-03 20:13:28.694,9,-1.57,6.64,4.61,-0.48,-0.86,-0.12,0.33,0.16,0.21,15.88,-12.34,-37.03
2025-11-30 11:56:21.932,4,-3.41,9.8,1.61,-0.42,0.63,-0.37,0.67,0.09,-0.23,12.08,-28.5,-9.71
2025-11-30 11:52:39.613,9,-3.72,8.16,3.84,-0.05,-0.26,0.05,0.48,-0.32,-0.69,-13.14,-90.6,-152.49
2025-11-30 11:57:45.828,5,-4.65,8.85,4.38,-0.31,-0.52,0.18,0.6,0.03,-0.31,9.09,-25.91,-18.71
2025-12-03 20:19:08.978,6,5.9,2.95,3.47,-0.22,-1.16,1.03,0.24,-0.32,0.24,-28.88,-1.65,-36.13
2025-12-03 17:04:46.837,5,-3.63,3.63,8.57,-0.07,-1.14,-0.45,-0.19,0.16,0.96,9.49,-17.49,-27.34
2025-11-30 12:07:51.774,6,-2.22,3.52,10.35,-0.23,-0.2,-0.06,0.15,0.18,0.11,9.17,17.83,-33.62
2025-12-03 17:48:12.232,2,-4.31,5.94,7.73,0.32,0.01,-0.52,0.02,0.4,0.7,24.34,-20.08,-18.26
2025-12-03 17:33:35.579,4,-0.37,3.83,8.89,-0.07,0.22,-0.02,0.11,-0.21,-0.97,2.7,-26.78,-27.34
2025-11-24 17:17:41.899,9,-2.2,1.04,11.33,-0.22,-0.17,-0.02,-0.02,0.13,0.72,14.68,-7.52,-33.34
2025-12-03 16:14:48.616,0,-0.09,5.28,8.84,-0.09,0.12,-0.08,0.03,-0.31,-0.95,-4.11,-35.18,-17.12
2025-12-03 16:14:10.423,5,-1.08,5.98,9.35,-0.02,0.13,0.01,0.07,-0.31,-0.94,-1.58,-35.87,-16.65
2025-11-24 09:34:37.977,5,-4.31,6.75,5.58,-0.16,-0.24,-0.06,-0.13,0.42,0.85,22.76,-28.11,-11.51
2025-11-24 09:38:37.547,2,-6.4,4.32,5.62,-0.12,-0.07,-0.04,-0.2,0.36,0.83,30.23,-21.92,-14.44
2025-12-03 20:55:03.933,0,-1.69,7.88,6.43,1.11,-1.33,-0.64,0.36,0.24,0.19,20.59,-15.64,-34.97
2025-11-30 12:01:29.278,1,-3.45,9.5,5.04,1.08,-0.55,-0.01,0.6,0.11,-0.17,9.77,-24.62,-18.54
2025-11-30 11:58:15.696,5,-1.52,10.59,4.77,-0.41,0.43,-0.42,0.67,-0.04,-0.28,6.15,-28.93,-11.19
2025-12-03 19:50:20.392,6,-1.56,8.53,6.74,-0.2,-0.6,-0.27,0.49,0.17,0.19,18.13,-17.16,-30.86
2025-11-24 14:56:17.047,5,-3.48,4.44,9.71,-0.76,-0.52,0.21,0.13,0.28,0.52,24.17,-11.93,-31.97
2025-12-03 21:01:07.136,1,-1.25,8.39,6.6,0.46,-1.7,0.11,0.48,0.25,0.24,17.83,-24.51,-26.78
2025-12-03 17:27:11.960,2,-4.19,5.57,9.14,-0.01,-0.0,-0.64,0.27,-0.24,-0.93,10.8,-29.18,-20.68
2025-12-03 20:05:40.855,3,6.96,7.16,3.8,0.66,1.19,0.95,0.45,-0.37,0.06,-28.74,-18.34,-25.24
2025-12-03 20:58:35.485,1,0.19,8.08,7.12,-0.15,0.47,0.2,0.44,0.16,0.16,15.3,-18.02,-37.03
2025-12-03 20:32:22.198,4,-4.77,5.74,7.18,-0.21,-0.53,-0.01,0.2,0.36,0.23,34.8,-3.73,-28.29
2025-11-24 14:52:52.395,6,-0.66,5.63,8.1,0.63,-0.51,0.31,0.16,-0.15,-0.95,13.29,-15.47,-25.78
2025-12-03 20:19:55.517,7,-2.33,9.92,3.56,0.41,-0.47,0.22,0.5,0.33,0.13,28.67,-22.76,-27.66
2025-11-29 21:30:28.140,1,-4.02,9.25,1.21,-0.17,-0.88,0.2,0.18,0.64,0.57,20.81,-24.84,0.98
2025-12-03 20:27:21.214,3,-6.24,9.04,4.02,-0.07,-1.48,0.31,0.41,0.4,0.27,28.78,-24.58,-22.33
2025-12-03 17:34:56.436,4,-0.46,8.29,7.23,-0.14,-0.02,0.1,0.16,-0.47,-0.86,-2.01,-39.43,-8.25
2025-12-02 14:05:04.773,5,-5.39,3.79,6.35,-0.07,-0.33,-0.22,0.31,-0.15,-0.93,27.6,-24.62,-37.24
2025-12-03 16:14:46.348,4,0.07,6.56,12.75,-0.79,-0.82,0.06,0.08,-0.36,-0.92,-7.37,-40.05,-11.19
2025-11-30 12:42:34.690,3,-5.17,7.69,2.49,0.14,-0.22,0.08,0.39,-0.48,-0.78,37.26,-12.24,149.04
2025-11-30 11:56:30.354,7,-3.82,8.27,3.54,0.07,-0.05,0.42,0.55,0.05,-0.27,6.47,-22.86,-22.73
2025-11-30 11:52:14.661,6,-3.67,7.92,7.59,-0.6,-0.34,-0.1,0.44,-0.23,-0.72,-11.16,-84.26,-158.74
2025-11-24 14:54:25.443,4,-6.6,3.58,4.95,0.89,-0.03,-0.95,0.13,0.41,0.23,31.33,0.24,-27.81
2025-12-03 20:40:09.412,5,-0.63,8.72,4.36,0.11,-0.27,0.28,0.46,0.15,0.1,13.11,-22.58,-35.1
2025-11-24 14:53:15.094,4,-3.34,6.43,5.12,-0.08,-0.04,-0.33,0.09,0.37,0.63,21.96,-15.68,-21.36
2025-12-03 20:13:06.742,7,4.26,1.22,8.66,-0.83,0.23,1.13,0.1,-0.19,0.24,-12.49,8.55,-37.8
2025-12-03 17:06:03.480,5,-5.08,5.11,7.12,-0.41,-0.58,-0.16,-0.27,0.28,0.92,14.46,-26.06,-17.85
2025-12-03 19:47:56.728,1,0.24,9.52,7.06,1.09,0.04,-0.09,0.54,0.13,0.19,9.21,-23.94,-27.84
2025-12-03 20:12:31.365,3,-3.76,7.66,6.94,0.62,-0.77,-0.29,0.48,0.25,0.2,16.48,-23.27,-27.99
2025-12-03 16:15:38.387,8,-1.72,5.99,7.43,-0.13,-0.02,0.04,0.09,-0.31,-0.94,-0.02,-34.69,-14.83
2025-12-02 22:31:48.247,0,-2.4,6.85,6.1,0.41,0.31,0.19,-0.02,0.46,0.86,21.64,-27.81,-21.81
2025-12-02 22:30:31.784,1,-3.61,8.78,5.07,-0.15,-0.36,-0.73,0.05,0.5,0.73,24.84,-29.25,-15.62
2025-12-02 22:34:04.673,1,-4.81,9.18,1.38,-0.4,-0.27,-0.05,0.22,0.61,0.55,27.79,-31.33,-1.18
2025-12-03 17:34:26.013,8,0.04,5.59,8.57,-0.31,-0.07,-0.13,0.01,-0.3,-0.95,-5.34,-30.86,-24.84
2025-11-24 09:23:56.385,2,3.6,4.52,6.22,-0.24,-0.3,0.08,0.28,-0.18,0.16,-5.59,-5.18,-34.31
2025-12-03 20:52:12.971,6,-3.89,7.25,6.12,1.0,-1.16,0.14,0.38,0.27,0.15,23.23,-17.51,-30.34
2025-11-24 09:30:00.514,4,1.45,6.59,8.43,0.37,0.55,-0.17,0.2,0.25,0.79,18.62,-27.56,-22.89
2025-11-30 12:23:37.073,2,-4.79,7.55,5.88,0.22,-1.13,0.32,0.37,-0.39,-0.84,0.83,-16.09,87.34
2025-12-03 17:32:44.328,4,-1.38,5.42,7.55,0.13,0.61,-0.04,0.14,-0.3,-0.94,4.52,-34.5,-21.26
2025-11-24 13:45:13.942,3,-3.51,8.37,4.93,-0.43,0.24,-0.28,0.18,0.52,0.62,20.91,-22.63,-4.86
2025-11-30 12:41:56.457,0,-2.38,7.12,5.66,-0.53,-0.22,-0.01,0.18,0.39,0.63,125.38,-19.33,125.91
2025-12-02 22:36:35.123,1,-4.82,7.6,3.9,-0.22,0.18,-0.56,0.08,0.53,0.62,31.74,-25.54,-12.6
2025-11-30 12:36:40.903,5,-2.73,2.84,8.83,0.02,-0.23,-0.47,0.21,0.04,-0.46,-1.35,14.33,-67.11
2025-11-24 13:45:08.309,4,-3.22,9.35,3.78,0.35,-0.2,-0.17,0.17,0.53,0.63,22.11,-19.8,-5.7
2025-11-24 17:04:59.690,9,-0.63,3.35,9.78,0.7,0.84,0.44,-0.0,0.13,0.94,12.41,-9.83,-35.66
2025-12-03 20:41:49.969,4,-0.91,8.36,6.92,0.79,0.17,-0.03,0.43,0.18,0.19,15.83,-19.43,-35.4
2025-11-30 11:53:43.989,3,-3.36,8.9,2.71,-1.25,-1.43,0.27,0.6,0.12,-0.23,12.36,-23.12,-19.65
2025-11-24 14:57:15.058,9,-3.03,3.05,10.58,-0.1,0.78,0.41,-0.0,0.24,0.71,18.06,-12.9,-26.49
2025-12-03 19:35:55.205,7,-7.95,3.2,5.38,0.14,0.45,-0.02,0.18,0.44,0.06,35.46,7.97,-19.01
