Timestamp,Zone,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,RotX,RotY,RotZ,MagX,MagY,MagZ
2025-11-24 17:10:57.206,0,-2.46,2.67,7.95,-0.81,0.08,-0.56,0.0,0.18,0.73,16.2,-12.94,-32.21
2025-12-03 21:00:47.793,4,-1.81,5.96,8.42,0.51,-0.05,0.35,0.3,0.16,0.07,14.85,-8.36,-38.1
2025-11-24 10:10:24.511,0,-2.85,3.45,8.14,0.09,-0.02,0.09,0.17,0.16,0.1,17.06,-1.24,-43.73
2025-11-24 09:29:47.566,8,-1.92,6.8,6.36,1.09,-0.25,0.15,0.11,0.35,0.82,24.26,-28.95,-18.28
2025-11-29 21:29:27.797,5,-1.05,9.29,5.64,-0.0,-0.14,-0.25,0.2,-0.46,-0.81,10.8,-26.48,-13.52
2025-12-03 19:42:00.425,4,1.16,10.04,6.31,-0.62,2.41,0.46,0.58,0.25,0.33,16.31,-29.01,-21.43
2025-11-29 21:30:26.424,7,-4.15,8.01,1.94,-0.21,-0.49,-0.08,0.16,0.54,0.59,20.7,-24.94,-8.12
2025-12-03 19:42:56.070,4,0.56,9.27,0.23,0.41,0.12,-0.14,0.58,0.22,0.26,17.29,-27.02,-22.52
2025-11-24 15:02:17.579,0,-3.02,5.54,6.92,-0.14,0.18,-0.09,0.07,0.35,0.73,19.8,-17.31,-20.44
2025-12-03 17:30:39.330,7,-5.14,3.05,7.32,-0.47,-1.72,-0.21,-0.24,0.13,0.96,12.54,-16.26,-22.37
2025-12-03 17:29:13.073,8,-3.89,1.87,9.81,0.21,0.19,-0.13,-0.21,0.19,0.96,12.92,-20.68,-24.56
2025-11-24 17:11:26.730,8,-2.57,4.26,8.34,-0.26,-1.13,-0.38,0.01,0.23,0.69,18.6,-11.55,-28.84
2025-12-03 20:55:09.032,1,3.63,1.78,6.6,0.7,-0.63,0.65,0.19,-0.16,0.26,-10.35,-2.44,-41.85
2025-12-03 17:34:44.083,3,-3.93,7.18,4.13,0.68,-2.26,-0.27,0.22,-0.46,-0.85,7.67,-36.71,-10.5
2025-12-03 19:51:57.142,1,3.7,9.34,6.77,-0.14,0.18,0.13,0.54,0.11,0.26,7.13,-25.63,-28.31
2025-11-23 22:53:13.989,9,-0.05,6.18,7.54,-0.09,0.11,0.01,0.29,0.16,0.46,9.43,-14.27,-28.97
2025-12-03 20:57:00.244,1,3.96,5.51,8.43,1.86,-0.89,-0.55,0.18,-0.07,0.05,-3.86,4.29,-41.46
2025-12-03 20:22:14.819,0,1.46,9.73,1.37,-0.26,-0.12,0.05,0.66,0.13,0.26,2.53,-34.67,-17.72
2025-12-03 20:01:31.496,1,6.15,2.15,4.5,0.76,0.1,0.44,0.18,-0.4,0.11,-28.22,5.46,-28.58
2025-11-24 13:39:09.789,2,-1.96,9.7,2.09,-1.51,-0.16,-0.77,0.19,0.61,0.63,22.67,-32.29,0.96
2025-11-24 14:33:30.323,0,-2.07,6.08,7.66,-0.02,0.21,0.07,0.11,0.34,0.73,24.06,-18.81,-18.56
2025-12-03 20:02:24.614,0,5.69,-0.89,8.52,0.49,0.48,0.01,-0.0,-0.19,0.22,-4.76,19.63,-37.58
2025-11-24 17:02:58.183,7,-2.5,5.56,7.34,-0.58,-1.28,-0.47,0.09,0.27,0.6,20.31,-16.61,-28.2
2025-12-03 17:36:33.975,0,1.08,2.0,8.79,0.26,0.07,0.08,0.11,0.1,0.96,-3.19,-13.67,-34.71
2025-11-24 17:10:52.183,5,-4.4,4.31,6.35,-0.15,-0.07,-0.21,-0.04,0.3,0.78,22.89,-15.49,-24.24
2025-12-03 20:39:15.125,0,-1.59,6.85,6.74,-0.68,0.03,-0.11,0.38,0.21,0.16,18.23,-15.39,-36.64
2025-12-03 19:45:06.168,2,-0.63,9.57,6.41,-0.88,0.64,-0.54,0.58,0.15,0.2,7.99,-30.81,-24.79
2025-11-24 17:08:21.997,2,-2.57,6.07,4.21,-0.05,-0.27,-0.5,-0.01,0.31,0.82,19.78,-20.57,-25.8
2025-12-02 22:35:20.450,5,-4.46,6.48,6.05,-0.62,0.32,-0.42,0.13,0.41,0.59,26.79,-24.36,-20.89
2025-12-03 20:03:45.050,5,-3.96,8.45,4.32,-0.38,-0.82,-0.59,0.35,0.44,0.35,39.24,-17.93,-17.19
2025-11-24 09:23:31.516,2,6.96,4.77,5.24,-0.24,0.48,-0.02,0.04,-0.52,-0.39,-35.08,-6.96,-7.28
2025-11-30 12:06:10.483,0,-0.98,4.5,8.27,-1.16,-0.54,-0.77,0.24,0.0,-0.49,-1.63,-8.79,-37.78
2025-11-24 09:21:44.478,9,-0.19,3.97,8.51,-0.02,-0.11,0.17,0.26,-0.09,-0.55,-9.38,-9.92,-41.16
2025-12-03 20:39:05.553,2,-1.51,8.01,9.66,-0.96,0.27,-0.1,0.52,0.13,0.09,13.35,-24.34,-30.99
2025-11-24 15:02:20.334,5,-3.62,6.8,5.23,0.07,-0.36,0.13,0.06,0.45,0.75,20.44,-25.76,-12.71
2025-12-03 21:02:46.513,4,-2.07,8.87,8.08,-1.13,-1.85,-0.24,0.41,0.27,0.22,23.27,-20.76,-30.69
2025-12-03 16:06:33.724,1,-1.94,6.66,8.49,-0.24,-0.98,-0.22,0.18,-0.26,-0.94,7.73,-21.88,-23.36
2025-11-24 14:58:54.615,4,-5.58,4.46,6.6,0.19,-1.43,-0.28,-0.15,0.33,0.79,26.01,-15.38,-20.63
2025-12-03 16:14:01.112,5,-1.45,6.22,6.83,0.46,0.17,0.1,0.1,-0.32,-0.94,0.75,-35.61,-12.84
2025-11-30 12:08:02.230,8,-3.13,3.38,8.72,0.78,0.22,-0.22,0.17,0.17,-0.02,5.59,17.79,-33.62
2025-11-30 12:42:29.641,5,-5.3,7.66,6.89,-0.79,-0.25,-0.13,-0.24,0.46,0.85,81.17,-23.16,142.8
2025-12-03 20:44:25.011,3,-6.18,7.22,3.88,0.11,-0.77,-0.07,0.36,0.46,0.23,40.5,-14.51,-24.86
2025-12-03 17:06:06.404,1,-3.9,7.5,5.39,-0.3,0.57,-0.43,0.35,-0.35,-0.87,17.66,-29.76,-11.36
2025-12-03 21:06:40.421,6,3.54,7.31,5.31,1.17,3.1,-0.57,0.33,-0.32,0.17,-31.03,-8.93,-31.65
2025-12-03 20:16:21.080,6,4.96,7.06,4.77,0.28,-2.27,-2.65,0.28,-0.3,0.14,-24.51,-9.9,-33.58
2025-12-03 19:47:32.117,1,3.42,7.02,6.8,0.54,0.2,0.26,0.53,0.11,0.24,5.31,-25.01,-28.26
2025-11-30 13:26:40.343,4,-4.32,7.95,4.98,0.29,-0.46,-0.22,0.25,0.41,0.15,21.28,-25.61,108.26
